,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,돌체 카라멜 칩 커피 프라푸치노,335,50,4,180,9,85
1,더블 에스프레소 칩 프라푸치노,265,31,3,140,11,130
2,모카 프라푸치노,280,36,5,180,6,90
3,바밀카쿠 프라푸치노,290,31,2,130,13,90
4,에스프레소 프라푸치노,145,29,2,115,1.1,120
5,자바 칩 프라푸치노,340,42,6,180,9,100
6,제주 별다방 땅콩 프라푸치노,495,75,6,220,9,18
7,카라멜 프라푸치노,300,39,4,190,7,85
8,화이트 초콜릿 모카 프라푸치노,245,38,4,140,6,85
9,바닐라 크림 프라푸치노,200,28,4,150,6,0
10,제주 까망 크림 프라푸치노,600,79,9,330,7,0
11,제주 쑥떡 크림 프라푸치노,460,57,8,250,10,0
12,제주 유기농 말차로 만든 크림 프라푸치노,230,28,5,150,7,60
13,초콜릿 크림 칩 프라푸치노,300,40,6,160,7,10
14,화이트 딸기 크림 프라푸치노,360,54,4,170,11,0
15,화이트 타이거 프라푸치노,410,57,5,220,14,0
