,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,스타벅스 파인애플 선셋 아이스 티,175,34,0,10,0.1,0
1,라임 패션 티,140,35,0,25,0,150
2,민트 블렌드 티,0,0,0,0,0,0
3,별궁 오미자 유스베리 티,175,38,0,0,0.1,25
4,아이스 라임 패션 티,90,22,0,15,0,93
5,아이스 민트 블렌드 티,0,0,0,0,0,0
6,아이스 얼 그레이 티,0,0,0,0,0,50
7,아이스 유스베리 티,0,0,0,0,0,20
8,아이스 유자 민트 티,145,37,0,5,0,0
9,아이스 잉글리쉬 브렉퍼스트 티,0,0,0,0,0,40
10,아이스 제주 유기 녹차,0,0,0,0,0,16
11,아이스 캐모마일 블렌드 티,0,0,0,0,0,0
12,아이스 히비스커스 블렌드 티,0,0,0,0,0,0
13,얼 그레이 티,0,0,0,0,0,70
14,유스베리 티,0,0,0,0,0,20
15,유자 민트 티,235,58,0,10,0,0
16,잉글리쉬 브렉퍼스트 티,0,0,0,0,0,70
17,자몽 허니 블랙 티,125,30,0,5,0,70
18,제주 유기 녹차,0,0,0,0,0,16
19,캐모마일 블렌드 티,0,0,0,0,0,0
20,패션 푸르트 티,180,41,0,5,0,0
21,피치 젤리 티,190,21,0,65,0,70
22,히비스커스 블렌드 티,0,0,0,0,0,0
23,아이스 별궁 오미자 유스베리 티,175,38,0,0,0.1,15
24,아이스 자몽 허니 블랙 티,125,30,0,5,0,30
25,아이스 패션 푸르트 티,155,34,0,5,0,0
26,아이스 푸를 청귤 민트 티,205,48,0,30,0,0
27,피치 젤리 아이스 티,120,13,0,40,0,30
28,돌체 블랙 밀크 티,250,34,8,110,5,60
29,아이스 돌체 블랙 밀크 티,210,31,6,80,3.7,35
30,아이스 제주 유기농 말차로 만든 라떼,155,16,6,95,3.6,60
31,아이스 차이 티 라떼,190,31,5,70,3,70
32,아이스 콩고물 블랙 밀크 티,235,36,5,140,3.4,100
33,제주 유기농 말차로 만든 라떼,205,20,9,130,5,60
34,차이 티 라떼,200,31,6,70,3,70
35,콩고물 블랙 밀크 티,235,36,5,140,3.4,150
